"Branch","SHA","Date","Subject","MergeBase","AheadBehind","Tree","TreeEqualsMain","CherryPlus","CherryMinus","AheadCommitCount","FileCountThreeDot","FileCountTwoDot","ShortStatThreeDot","ShortStatTwoDot","FileSetHash","Priority","Prefix","FilesSample","Classification","Evidence","RecommendedAction"
"rescue/no-perder-nada-20260615-171019/stash/0","17f9fb5761f186e0d9643210a14569f993fad493","2026-06-14T10:26:00-06:00","WIP on fix/f7-operational-release-gate: e58270ff fix(deploy): harden production scheduler and offline release gate","e58270ffe884d0322910bc650c14ce81a3a7bf06","199/2","ea26162125368e6e33fd13cafb9af13b273143d2","False","1","0","2","22","883"," 22 files changed, 402 insertions(+), 104 deletions(-)"," 883 files changed, 9629 insertions(+), 71761 deletions(-)","0b2571f1ea6750a7e378db1f7897eed7fd6d8d81024921cbaa6768f25c5deaff","P1","rescue",".env.example; backend/app/Events/CashSessionChanged.php; backend/app/Events/InvoiceChanged.php; backend/app/Events/PaymentChanged.php; backend/app/Http/Controllers/AuthController.php; backend/app/Http/Controllers/EchoConfigController.php; backend/app/Http/Middleware/AddSecurityHeaders.php; backend/app/Http/Middleware/LoginLockout.php; backend/app/Models/AuditLog.php; backend/app/Models/LoginAttempt.php; backend/composer.json; backend/composer.lock; backend/config/broadcasting.php; backend/tests/Feature/AuditLogTest.php; backend/tests/Feature/BroadcastingWiringTest.php; backend/tests/Feature/LoginLockoutTest.php; docker-compose.prod.yml; frontend/src/lib/realtime/types.ts","RESCATE_CONSERVAR","aheadBehind=199/2; cherryPlus=1; cherryMinus=0; files3=22; files2=883; priority=P1","conservar como rescate; agrupar por duplicados antes de cualquier limpieza futura"
"rescue/no-perder-nada-20260615-171019/stash/1","62308c6fa2a21152b90d3a7d3f2ddb05b11aa496","2026-06-14T01:06:17-06:00","On merge/f6-approved-a9377e9f: preserve-untracked-idempotency-hardening-before-approved-gates","a9377e9fa71430c8667dd619022f58a9f28dcde4","203/3","ac066b91300079db9b21386bf4dd5206bda7982f","False","2","0","3","0","888",""," 888 files changed, 9602 insertions(+), 72453 deletions(-)","empty","P2","rescue","","RESCATE_CONSERVAR","aheadBehind=203/3; cherryPlus=2; cherryMinus=0; files3=0; files2=888; priority=P2","conservar como rescate; agrupar por duplicados antes de cualquier limpieza futura"
"rescue/no-perder-nada-20260615-171019/stash/10","e5db50b1c5cacc74ae0e4c3c06ffb9d61236ebb0","2026-06-02T21:53:04-06:00","On codex/audit-f1-config-hardening: safety-pr10-second-dirty-set-20260603","ec061a60017f71a37f7e915f737603f082a30a86","333/3","e2674ed2bc9f2d45c726362db4f3f9e4cc243f7f","False","2","0","3","1","1359"," 1 file changed, 200 insertions(+), 122 deletions(-)"," 1359 files changed, 9070 insertions(+), 101197 deletions(-)","5f6f3b71c56082b6bf2b7a2ad1e6a6b826c3f926bc085094ecf05eb055741db2","P1","rescue","frontend/src/features/reports/ReportsView.tsx","RESCATE_CONSERVAR","aheadBehind=333/3; cherryPlus=2; cherryMinus=0; files3=1; files2=1359; priority=P1","conservar como rescate; agrupar por duplicados antes de cualquier limpieza futura"
"rescue/no-perder-nada-20260615-171019/stash/11","d53627a887f39f7b0779229c9876765ca6e91b18","2026-06-02T21:51:36-06:00","On codex/audit-f1-config-hardening: safety-pr10-before-conflict-merge-20260603","ec061a60017f71a37f7e915f737603f082a30a86","333/3","99b76099957c9ec70a5c6c2b2abf83948c799214","False","2","0","3","8","1358"," 8 files changed, 228 insertions(+), 150 deletions(-)"," 1358 files changed, 9033 insertions(+), 101160 deletions(-)","ce534da91970e3077fab00745cd458cfed256d728ae0327bc4387d69876d2afc","P0","rescue","backend/app/Actions/Reports/DashboardReportService.php; backend/app/Actions/Reports/ExcelReportService.php; backend/app/Actions/Reports/PdfExportService.php; backend/app/Actions/Reports/PremiumExcelExportService.php; frontend/src/features/auth/LoginView.test.tsx; frontend/src/features/auth/LoginView.tsx; frontend/src/features/backups/BackupsView.tsx; frontend/src/features/catalog/CatalogView.tsx","RESCATE_CONSERVAR","aheadBehind=333/3; cherryPlus=2; cherryMinus=0; files3=8; files2=1358; priority=P0","conservar como rescate; agrupar por duplicados antes de cualquier limpieza futura"
"rescue/no-perder-nada-20260615-171019/stash/12","74dfa24b5777c36c308264a58e260a3a2a45924e","2026-06-01T23:40:45-06:00","On codex/production-readiness-hardening: codex-preserve-financial-facts-before-offline-release","15bcd6a115c81e81bbc58d2d90e0acfda0cb3b65","559/2","f55a4e0089e38f20feeddcaf0cb11eb78b28255e","False","1","0","2","1","1515"," 1 file changed, 26 insertions(+), 1 deletion(-)"," 1515 files changed, 11420 insertions(+), 128000 deletions(-)","c4e8662b622808b49de9acedb229e7ea545a9239b76931f223d86c167842c513","P1","rescue","backend/tests/Feature/FinancialFactsReportTest.php","RESCATE_CONSERVAR","aheadBehind=559/2; cherryPlus=1; cherryMinus=0; files3=1; files2=1515; priority=P1","conservar como rescate; agrupar por duplicados antes de cualquier limpieza futura"
"rescue/no-perder-nada-20260615-171019/stash/13","adc0d6ce094cd42561a61cbbd99b34ec2c29d17b","2026-06-01T23:40:24-06:00","On codex/production-readiness-hardening: codex-preserve-income-report-before-offline-release","15bcd6a115c81e81bbc58d2d90e0acfda0cb3b65","559/2","5da8884b65989fe224eae8e9c8b06d65004d6f3a","False","1","0","2","1","1515"," 1 file changed, 13 insertions(+), 1 deletion(-)"," 1515 files changed, 11420 insertions(+), 128013 deletions(-)","6b3cffa46494d511031e0e59be8d07d206dbb5825ee9722c8962a846955da7b0","P1","rescue","backend/app/Actions/Reports/IncomeReportService.php","RESCATE_CONSERVAR","aheadBehind=559/2; cherryPlus=1; cherryMinus=0; files3=1; files2=1515; priority=P1","conservar como rescate; agrupar por duplicados antes de cualquier limpieza futura"
"rescue/no-perder-nada-20260615-171019/stash/14","6a8d22e43c0b087e688858e2f40ee92dc653ad81","2026-06-01T23:39:51-06:00","On codex/production-readiness-hardening: codex-preserve-reports-test-before-offline-release","15bcd6a115c81e81bbc58d2d90e0acfda0cb3b65","559/2","ec8ac2a59868e386970dd671495a5bdc53333fd3","False","1","0","2","1","1515"," 1 file changed, 2 insertions(+), 1 deletion(-)"," 1515 files changed, 11420 insertions(+), 128024 deletions(-)","743606e69804c2a2363be97ac960ff169bb599ddb8f729de6967afdc108f5b2b","P1","rescue","backend/tests/Feature/ReportsTest.php","RESCATE_CONSERVAR","aheadBehind=559/2; cherryPlus=1; cherryMinus=0; files3=1; files2=1515; priority=P1","conservar como rescate; agrupar por duplicados antes de cualquier limpieza futura"
"rescue/no-perder-nada-20260615-171019/stash/15","1956dc0f8e00a14c7fcfeb6b365e63f9c6c5cac4","2026-06-01T23:39:14-06:00","On codex/production-readiness-hardening: codex-preserve-unrelated-before-offline-release","15bcd6a115c81e81bbc58d2d90e0acfda0cb3b65","559/2","544328f0c38a8a1703a9c9abdb37a7e22e6808c1","False","1","0","2","2","1515"," 2 files changed, 39 insertions(+), 2 deletions(-)"," 1515 files changed, 11419 insertions(+), 127987 deletions(-)","f13b5a3550866968b7e81d9b05a41b5378970029b3f26aba105572d675c45c3a","P1","rescue","backend/app/Actions/Reports/IncomeReportService.php; backend/tests/Feature/FinancialFactsReportTest.php","RESCATE_CONSERVAR","aheadBehind=559/2; cherryPlus=1; cherryMinus=0; files3=2; files2=1515; priority=P1","conservar como rescate; agrupar por duplicados antes de cualquier limpieza futura"
"rescue/no-perder-nada-20260615-171019/stash/16","00a0b62540252e6eb917ab2d3214c13dde444314","2026-05-19T00:52:51-06:00","On codex/operational-role-simulation-20260519: temp-current-leftovers-before-ux2-switch","186e8c2d75021af8c5c875058c4f6339d7a4c429","798/3","dc1c5cdc368062677c9d943904eb19dca213e0d1","False","2","0","3","3","1760"," 3 files changed, 195 insertions(+), 15 deletions(-)"," 1760 files changed, 11867 insertions(+), 164041 deletions(-)","d4e6ab391f75f89c4592a65637f8fa468b77930d994c20ad11aa38755a92d897","P1","rescue","frontend/e2e/production-readiness.spec.ts; frontend/src/App.test.tsx; qa/UX_OPERATIVA_AUDIT_2026-05-18.md","RESCATE_CONSERVAR","aheadBehind=798/3; cherryPlus=2; cherryMinus=0; files3=3; files2=1760; priority=P1","conservar como rescate; agrupar por duplicados antes de cualquier limpieza futura"
"rescue/no-perder-nada-20260615-171019/stash/17","1010a345a249703b99067ce649b2735b305e01a5","2026-05-19T00:51:41-06:00","On codex/operational-role-simulation-20260519: temp-catalog-before-ux2-fix-final","186e8c2d75021af8c5c875058c4f6339d7a4c429","798/2","df46bfb948faf5aa2fbcd23669d7f739a9b1e28e","False","1","0","2","1","1760"," 1 file changed, 18 insertions(+), 8 deletions(-)"," 1760 files changed, 11784 insertions(+), 164128 deletions(-)","61be1555470ecdfc7cf463163d3c1c704f9d35bc66ba68e401aec13709632247","P2","rescue","frontend/src/features/catalog/CatalogView.tsx","RESCATE_CONSERVAR","aheadBehind=798/2; cherryPlus=1; cherryMinus=0; files3=1; files2=1760; priority=P2","conservar como rescate; agrupar por duplicados antes de cualquier limpieza futura"
"rescue/no-perder-nada-20260615-171019/stash/18","6b2f004d67032db27c60ab7ac104e37ccedbd298","2026-05-19T00:48:52-06:00","On codex/operational-role-simulation-20260519: temp-preflight-dirty-before-ux2-fix-final","186e8c2d75021af8c5c875058c4f6339d7a4c429","798/3","08134f7aa593e994af0e043bcc18ca902336d2bc","False","2","0","3","20","1760"," 20 files changed, 91 insertions(+), 175 deletions(-)"," 1760 files changed, 11670 insertions(+), 164108 deletions(-)","00e44e03c83bc5118afeb809d732b6d98444a24dae01f99024e6d67f4144d037","P0","rescue","frontend/e2e/production-readiness.spec.ts; frontend/src/AppRoutes.tsx; frontend/src/features/reports/ReportsView.tsx; frontend/src/features/reports/components/AuditoriaTab.tsx; frontend/src/features/reports/components/CashSessionReportTab.tsx; frontend/src/features/reports/components/DailyReportTab.tsx; frontend/src/features/reports/components/IncomeReportTab.tsx; frontend/src/features/reports/components/ServiceSalesTab.tsx; qa/screenshots/phase-12-visual-smoke/backups.png; qa/screenshots/phase-12-visual-smoke/billing-confirm-modal.png; qa/screenshots/phase-12-visual-smoke/billing-new-empty.png; qa/screenshots/phase-12-visual-smoke/billing-new-with-services.png; qa/screenshots/phase-12-visual-smoke/cashbox.png; qa/screenshots/phase-12-visual-smoke/catalog.png; qa/screenshots/phase-12-visual-smoke/dashboard.png; qa/screenshots/phase-12-visual-smoke/fiscal-settings.png; qa/screenshots/phase-12-visual-smoke/invoices-history.png; qa/screenshots/phase-12-visual-smoke/receipt-preview.png","RESCATE_CONSERVAR","aheadBehind=798/3; cherryPlus=2; cherryMinus=0; files3=20; files2=1760; priority=P0","conservar como rescate; agrupar por duplicados antes de cualquier limpieza futura"
"rescue/no-perder-nada-20260615-171019/stash/19","db3a3280aac4b6ff05c8ee2a25e40f87780b48d5","2026-05-19T00:44:06-06:00","On codex/production-readiness-preflight: wip-final-ux-audit-residue-before-preflight-closeout","186e8c2d75021af8c5c875058c4f6339d7a4c429","798/2","c66a002c999d3c5e4ee460de79c735134284f665","False","1","0","2","1","1760"," 1 file changed, 81 insertions(+)"," 1760 files changed, 11816 insertions(+), 164089 deletions(-)","3c7244b1b4507516551bec82968e915222be5cfea8d7171eee69066c5d345736","P2","rescue","qa/UX_OPERATIVA_AUDIT_2026-05-18.md","RESCATE_CONSERVAR","aheadBehind=798/2; cherryPlus=1; cherryMinus=0; files3=1; files2=1760; priority=P2","conservar como rescate; agrupar por duplicados antes de cualquier limpieza futura"
"rescue/no-perder-nada-20260615-171019/stash/2","b0791cba6e0e559492e1f00e837431c34ed0724b","2026-06-14T01:00:38-06:00","On merge/f6-approved-a9377e9f: preserve-uncommitted-reports-test-before-approved-merge-gates","a9377e9fa71430c8667dd619022f58a9f28dcde4","203/2","53592277c53d3227f8b0db7d1ae603c1291a7bdc","False","1","0","2","1","888"," 1 file changed, 1 insertion(+), 1 deletion(-)"," 888 files changed, 9603 insertions(+), 72454 deletions(-)","92ba1098f727bdbd77f4dfd963a8fd7a8f521de48c90637b251b675d36454158","P1","rescue","frontend/src/features/reports/ReportsView.test.tsx","RESCATE_CONSERVAR","aheadBehind=203/2; cherryPlus=1; cherryMinus=0; files3=1; files2=888; priority=P1","conservar como rescate; agrupar por duplicados antes de cualquier limpieza futura"
"rescue/no-perder-nada-20260615-171019/stash/20","3174b52fdc740d33edf53650866ecf1311543b57","2026-05-19T00:43:08-06:00","On codex/production-readiness-preflight: wip-final-app-test-residue-before-preflight-closeout","186e8c2d75021af8c5c875058c4f6339d7a4c429","798/2","08bee1b96371aacb91bf28813d80e9bb366ba158","False","1","0","2","1","1760"," 1 file changed, 86 insertions(+)"," 1760 files changed, 11835 insertions(+), 164103 deletions(-)","e0a1beb25c6119f8422eb104d712ec95d0f21e738b962c6bd5a220fed444f9cd","P2","rescue","frontend/src/App.test.tsx","RESCATE_CONSERVAR","aheadBehind=798/2; cherryPlus=1; cherryMinus=0; files3=1; files2=1760; priority=P2","conservar como rescate; agrupar por duplicados antes de cualquier limpieza futura"
