"Ref","SHA","Tree","Upstream","CommitterDate","Author","Subject"
"codex/integration-release-candidate","10d7413daf48f606ef9d913792ed90454a7143d0","e886aba03f3ff6af6bdfc110c209bee010967806","origin/codex/integration-release-candidate","2026-06-21 11:08:36 -0600","AugustoMelara-Dev","docs(qa): classify release dependency warnings"
"origin/checkpoint/pre-visual-completion-20260621-1137","10d7413daf48f606ef9d913792ed90454a7143d0","e886aba03f3ff6af6bdfc110c209bee010967806","","2026-06-21 11:08:36 -0600","AugustoMelara-Dev","docs(qa): classify release dependency warnings"
"origin/codex/integration-release-candidate","10d7413daf48f606ef9d913792ed90454a7143d0","e886aba03f3ff6af6bdfc110c209bee010967806","","2026-06-21 11:08:36 -0600","AugustoMelara-Dev","docs(qa): classify release dependency warnings"
"origin/codex/ui-institutional-receipt","dbf7aac2aa0e931e457ec3565e6bd87640a3dc5d","3f04db7539e4d7528137b9a575a9399ecb243f61","","2026-06-21 07:32:37 -0600","AugustoMelara-Dev","test(receipt): verify real PDF output across formats"
"origin/codex/ui-cashbox","c28eeae42efccecc6e007e9c629192ea00fdbe8b","39fdad3b146833f03f1ecadaa93f68b4cb58917f","","2026-06-21 06:33:05 -0600","AugustoMelara-Dev","test(cash): cover permissions reconciliation and concurrency states"
"origin/codex/ui-invoice-history","9588d19437e92d00b124fecd57c2328f2b01b630","ae5697a7674938ff6a1a8360a30c6eaada38024d","","2026-06-21 03:41:14 -0600","AugustoMelara-Dev","test(invoice): cover history structure filters and permissions"
"origin/codex/ui-payment-modal","5187ededb7717dc0c24ae6f846e0362995599ac0","4b9750b75df1c883964f469e7cdfc485818d98e4","","2026-06-21 03:11:08 -0600","AugustoMelara-Dev","test(payment): cover amounts permissions and receipt handoff"
"codex/cash-concurrency-hardening","add73a642aa3cabb0dbdbe0c9e040593bcd84e20","506e6ecacb8c5f86dc00a7b1e03596207b9bd32a","origin/codex/cash-concurrency-hardening","2026-06-21 02:48:04 -0600","AugustoMelara-Dev","docs(qa): preserve final readiness evidence"
"origin/codex/cash-concurrency-hardening","add73a642aa3cabb0dbdbe0c9e040593bcd84e20","506e6ecacb8c5f86dc00a7b1e03596207b9bd32a","","2026-06-21 02:48:04 -0600","AugustoMelara-Dev","docs(qa): preserve final readiness evidence"
"origin/codex/ui-invoice-builder-components","bd370ba6d68df4767090831d6040e3fd3b9205e8","bb63bf1201beb2395deb780e804c4ec738b0f14e","","2026-06-21 02:14:53 -0600","AugustoMelara-Dev","refactor(invoice): improve cart clarity and accessibility"
"origin/codex/ui-fiscal-settings","802b1640676dd15c1406592b524e69225226632a","afce7460f2ec786f36adf5a8214b4564cf61b613","","2026-06-21 01:45:39 -0600","AugustoMelara-Dev","refactor(settings): modernize fiscal configuration experience"
"origin/codex/ui-catalog-page","9a60da70d83b6bf24abc31ad37db457350e8cfb5","2f631571573f822c59e9416165b11918a0cc370b","","2026-06-21 01:15:04 -0600","AugustoMelara-Dev","test(catalog): cover permissions forms and pricing states"
"origin/codex/ui-dashboard-page","f4281dbe3881b83fedf4a5379108bb6a8bbaef1b","03ac7d229e2fe6e175513c119daf906f4c7d42c7","","2026-06-21 00:42:40 -0600","AugustoMelara-Dev","refactor(dashboard): modernize operational overview"
"origin/codex/ui-backups-page","0553662c724148b46de3e9a121cc92a3a87fcd58","049821834f7f6dd372fe6e74d9ee736f9095004d","","2026-06-20 23:46:08 -0600","AugustoMelara-Dev","refactor(backups): modernize backup management experience"
"origin/codex/ui-support-pages","4d7c68bc3ccf28d70af2cc8ee1d471da3e110d30","6cc4a4750701b2e34b4bd46c4e30cde104684fb5","","2026-06-20 23:14:38 -0600","AugustoMelara-Dev","fix(support): avoid duplicate status labels"
"origin/codex/ui-shared-patterns","ad7772b41f63e55269be66701e0ebd221c52d159","3c76abced0b679724c097b6594817c214edab543","","2026-06-20 22:51:41 -0600","AugustoMelara-Dev","test(ui): cover shared forms filters and tables"
"origin/codex/ui-shell-navigation","8b5fcec6aee1c4aa12e1d0fc0a6689625e68ceb5","8eb41af8893bbeae9fb1999d95e98efbd93e10d6","","2026-06-20 22:15:24 -0600","AugustoMelara-Dev","test(shell): cover permissions and responsive navigation"
"checkpoint/pre-final-main-integration-20260621-1241","2d4293946bce18a4f870bdfadda2ac384e62b7ac","2b942d48d3a108d8a9b497c53cda5495eadc018d","origin/checkpoint/pre-final-main-integration-20260621-1241","2026-06-20 21:47:32 -0600","AugustoMelara-Dev","merge: add shadcn-compatible UI foundations"
"checkpoint/pre-release-integration-20260621-0618","2d4293946bce18a4f870bdfadda2ac384e62b7ac","2b942d48d3a108d8a9b497c53cda5495eadc018d","origin/checkpoint/pre-release-integration-20260621-0618","2026-06-20 21:47:32 -0600","AugustoMelara-Dev","merge: add shadcn-compatible UI foundations"
"origin/checkpoint/pre-final-main-integration-20260621-1241","2d4293946bce18a4f870bdfadda2ac384e62b7ac","2b942d48d3a108d8a9b497c53cda5495eadc018d","","2026-06-20 21:47:32 -0600","AugustoMelara-Dev","merge: add shadcn-compatible UI foundations"
"origin/checkpoint/pre-release-integration-20260621-0618","2d4293946bce18a4f870bdfadda2ac384e62b7ac","2b942d48d3a108d8a9b497c53cda5495eadc018d","","2026-06-20 21:47:32 -0600","AugustoMelara-Dev","merge: add shadcn-compatible UI foundations"
"origin/codex/ui-foundations-shadcn","494762e29f11ff9f6769384a848ba5ac45237261","2b942d48d3a108d8a9b497c53cda5495eadc018d","","2026-06-20 21:46:53 -0600","AugustoMelara-Dev","test(ui): cover shared visual primitives"
"checkpoint/pre-main-sync-2026-06-20-2052","c9cdf263f41d64b353c862a9d3fdcb02c52b1abc","ddf38201935f82065401358fadc5ca22336a9b01","origin/checkpoint/pre-main-sync-2026-06-20-2052","2026-06-20 20:52:39 -0600","AugustoMelara-Dev","checkpoint: preserve current S_Hospital work before syncing main"
"origin/checkpoint/pre-main-sync-2026-06-20-2052","c9cdf263f41d64b353c862a9d3fdcb02c52b1abc","ddf38201935f82065401358fadc5ca22336a9b01","","2026-06-20 20:52:39 -0600","AugustoMelara-Dev","checkpoint: preserve current S_Hospital work before syncing main"
"codex/audit-hardening","5a0762403a5650e1f33d69017f7577c12879636b","f5a36809d719f19871c8bf0527ebf0b464ad751a","","2026-06-16 00:32:58 -0600","AugustoMelara-Dev","fix(deploy): tolerate mysql migration drift"
"rescue/no-perder-nada-20260615-180121/uncommitted/052","c7d0a61ead6fb1429d674a703950ffe1041976c4","8b7b8ae5c578f5584ad32b29198b7d4813cbbb4a","","2026-06-15 18:17:18 -0600","AugustoMelara-Dev","rescue(uncommitted): snapshot 20260615-180121 worktree 52"
"origin/rescue/no-perder-nada-20260615-180121/uncommitted/052","c7d0a61ead6fb1429d674a703950ffe1041976c4","8b7b8ae5c578f5584ad32b29198b7d4813cbbb4a","","2026-06-15 18:17:18 -0600","AugustoMelara-Dev","rescue(uncommitted): snapshot 20260615-180121 worktree 52"
"rescue/no-perder-nada-20260615-180121/uncommitted/009","3658e2d1e314517fb0ad98f26511ca72b57b207e","454a76821aa716a2243b7dfec7e29b2cbed9ce58","","2026-06-15 18:17:13 -0600","AugustoMelara-Dev","rescue(uncommitted): snapshot 20260615-180121 worktree 9"
"origin/rescue/no-perder-nada-20260615-180121/uncommitted/009","3658e2d1e314517fb0ad98f26511ca72b57b207e","454a76821aa716a2243b7dfec7e29b2cbed9ce58","","2026-06-15 18:17:13 -0600","AugustoMelara-Dev","rescue(uncommitted): snapshot 20260615-180121 worktree 9"
"rescue/no-perder-nada-20260615-180121/uncommitted/004","950391d9acea8eabe900380ccabd023cc35b4bfc","a292a4a427ca019c51ea4642a63d2b674cc74d3f","","2026-06-15 18:17:05 -0600","AugustoMelara-Dev","rescue(uncommitted): snapshot 20260615-180121 worktree 4"
"origin/rescue/no-perder-nada-20260615-180121/uncommitted/004","950391d9acea8eabe900380ccabd023cc35b4bfc","a292a4a427ca019c51ea4642a63d2b674cc74d3f","","2026-06-15 18:17:05 -0600","AugustoMelara-Dev","rescue(uncommitted): snapshot 20260615-180121 worktree 4"
"rescue/no-perder-nada-20260615-171019/uncommitted/052-C-/tmp/S_Hospital_verify_b2fe0b43","9725daf3a5e578855855b3c92600600ce566a8f6","067d54a0c8c919ada074728f27f8887ec4039c81","","2026-06-15 17:19:55 -0600","AugustoMelara-Dev","rescue(uncommitted): snapshot 20260615-171019"
"origin/rescue/no-perder-nada-20260615-171019/uncommitted/052-C-/tmp/S_Hospital_verify_b2fe0b43","9725daf3a5e578855855b3c92600600ce566a8f6","067d54a0c8c919ada074728f27f8887ec4039c81","","2026-06-15 17:19:55 -0600","AugustoMelara-Dev","rescue(uncommitted): snapshot 20260615-171019"
"rescue/no-perder-nada-20260615-171019/uncommitted/009-C-/tmp/S_Hospital_release_12062039","635ecb17e389fe0df45e1132b084a5b1a59bc4bc","b8e9eb9e10c263ab89141e9ec5c246464a2f319b","","2026-06-15 17:19:46 -0600","AugustoMelara-Dev","rescue(uncommitted): snapshot 20260615-171019"
"origin/rescue/no-perder-nada-20260615-171019/uncommitted/009-C-/tmp/S_Hospital_release_12062039","635ecb17e389fe0df45e1132b084a5b1a59bc4bc","b8e9eb9e10c263ab89141e9ec5c246464a2f319b","","2026-06-15 17:19:46 -0600","AugustoMelara-Dev","rescue(uncommitted): snapshot 20260615-171019"
"rescue/no-perder-nada-20260615-171019/uncommitted/004-C-/tmp/S_Hospital_f6_global_design","fc76059c475ad80894413d0aa4125fdb179d248b","a292a4a427ca019c51ea4642a63d2b674cc74d3f","","2026-06-15 17:19:37 -0600","AugustoMelara-Dev","rescue(uncommitted): snapshot 20260615-171019"
"origin/rescue/no-perder-nada-20260615-171019/uncommitted/004-C-/tmp/S_Hospital_f6_global_design","fc76059c475ad80894413d0aa4125fdb179d248b","a292a4a427ca019c51ea4642a63d2b674cc74d3f","","2026-06-15 17:19:37 -0600","AugustoMelara-Dev","rescue(uncommitted): snapshot 20260615-171019"
"rescue/no-perder-nada-20260615-171019/worktree-head/001-C-/Projects/S_Hospital","caa6a5f462d3de4f006c895fd1bb57639dfce782","a66f8f6028de8bc7426d7ebaf8fc66a3616fa1bf","","2026-06-15 16:29:55 -0600","AugustoMelara-Dev","docs(offline): v1.1 reports polish - catalog seed, menu alignment"
"rescue/no-perder-nada-20260615-180121/worktree-head/001-","caa6a5f462d3de4f006c895fd1bb57639dfce782","a66f8f6028de8bc7426d7ebaf8fc66a3616fa1bf","","2026-06-15 16:29:55 -0600","AugustoMelara-Dev","docs(offline): v1.1 reports polish - catalog seed, menu alignment"
"v1.1-critical-hardening-after-offline","caa6a5f462d3de4f006c895fd1bb57639dfce782","a66f8f6028de8bc7426d7ebaf8fc66a3616fa1bf","origin/v1.1-critical-hardening-after-offline","2026-06-15 16:29:55 -0600","AugustoMelara-Dev","docs(offline): v1.1 reports polish - catalog seed, menu alignment"
"origin/rescue/no-perder-nada-20260615-171019/worktree-head/001-C-/Projects/S_Hospital","caa6a5f462d3de4f006c895fd1bb57639dfce782","a66f8f6028de8bc7426d7ebaf8fc66a3616fa1bf","","2026-06-15 16:29:55 -0600","AugustoMelara-Dev","docs(offline): v1.1 reports polish - catalog seed, menu alignment"
"origin/rescue/no-perder-nada-20260615-180121/worktree-head/001-","caa6a5f462d3de4f006c895fd1bb57639dfce782","a66f8f6028de8bc7426d7ebaf8fc66a3616fa1bf","","2026-06-15 16:29:55 -0600","AugustoMelara-Dev","docs(offline): v1.1 reports polish - catalog seed, menu alignment"
"origin/v1.1-critical-hardening-after-offline","caa6a5f462d3de4f006c895fd1bb57639dfce782","a66f8f6028de8bc7426d7ebaf8fc66a3616fa1bf","","2026-06-15 16:29:55 -0600","AugustoMelara-Dev","docs(offline): v1.1 reports polish - catalog seed, menu alignment"
"hardening-audit-complete-2026-06-15","6cecb4afbb6b27a22032fe9ce9499bd48877d240","d1f663cd1995370e4c99adad08727e3cb3792585","origin/hardening-audit-complete-2026-06-15","2026-06-15 13:52:09 -0600","AugustoMelara-Dev","Exclude vendored paths from offline dependency audit"
"origin/hardening-audit-complete-2026-06-15","6cecb4afbb6b27a22032fe9ce9499bd48877d240","d1f663cd1995370e4c99adad08727e3cb3792585","","2026-06-15 13:52:09 -0600","AugustoMelara-Dev","Exclude vendored paths from offline dependency audit"
"checkpoint/s-hospital-lan-release-candidate-2026-06-15","605d2bcac0678e88d1b9e4c21055a8775f8e25f0","60b581353976017ae4861ff6198460832336b455","origin/checkpoint/s-hospital-lan-release-candidate-2026-06-15","2026-06-15 09:49:36 -0600","AugustoMelara-Dev","merge: final security lan hardening release candidate"
"origin/checkpoint/s-hospital-lan-release-candidate-2026-06-15","605d2bcac0678e88d1b9e4c21055a8775f8e25f0","60b581353976017ae4861ff6198460832336b455","","2026-06-15 09:49:36 -0600","AugustoMelara-Dev","merge: final security lan hardening release candidate"
"fix/final-security-lan-hardening-2026-06-15","fa4704da667fcfb4cb82a46ffb10d31c31530531","60b581353976017ae4861ff6198460832336b455","origin/fix/final-security-lan-hardening-2026-06-15","2026-06-15 09:35:14 -0600","AugustoMelara-Dev","fix(release): harden backup restore and lan deployment security"
"origin/fix/final-security-lan-hardening-2026-06-15","fa4704da667fcfb4cb82a46ffb10d31c31530531","60b581353976017ae4861ff6198460832336b455","","2026-06-15 09:35:14 -0600","AugustoMelara-Dev","fix(release): harden backup restore and lan deployment security"
"fix/pos-dialysis-permission-gate-2026-06-15","3f001dc1e1792c63d8f53425b97e5205f54dca4c","cdad8363bb956bf76766ccf6bdb8042942056392","origin/fix/pos-dialysis-permission-gate-2026-06-15","2026-06-15 07:47:59 -0600","AugustoMelara-Dev","fix(pos): gate dialysis prescription control by permission"
"origin/fix/pos-dialysis-permission-gate-2026-06-15","3f001dc1e1792c63d8f53425b97e5205f54dca4c","cdad8363bb956bf76766ccf6bdb8042942056392","","2026-06-15 07:47:59 -0600","AugustoMelara-Dev","fix(pos): gate dialysis prescription control by permission"
"safety/main-before-pr13-security-merge-2026-06-15","7ed77f3a472b68c8f1d998315ce39e90d6fee07e","fda84b9b78d935381bc2c67e41556b3935212a3c","origin/safety/main-before-pr13-security-merge-2026-06-15","2026-06-15 03:12:36 -0600","AugustoMelara-Dev","fix(main): reconcile branch integrations"
"origin/safety/main-before-pr13-security-merge-2026-06-15","7ed77f3a472b68c8f1d998315ce39e90d6fee07e","fda84b9b78d935381bc2c67e41556b3935212a3c","","2026-06-15 03:12:36 -0600","AugustoMelara-Dev","fix(main): reconcile branch integrations"
"fix/global-audit-blockers-2026-06-15","f7e3f4468b99be388a659f5cd973cf0c0623105c","8e00a51998e5a5bb3c14dd5f637f31f887aad133","origin/fix/global-audit-blockers-2026-06-15","2026-06-15 00:42:36 -0600","AugustoMelara-Dev","style: fix pint code formatting issues"
"origin/fix/global-audit-blockers-2026-06-15","f7e3f4468b99be388a659f5cd973cf0c0623105c","8e00a51998e5a5bb3c14dd5f637f31f887aad133","","2026-06-15 00:42:36 -0600","AugustoMelara-Dev","style: fix pint code formatting issues"
"hardening/global-release-candidate-2026-06-15","b9a0e60854039f8dee0beac2203404a7ef58ed5b","72e7365c3f3334451640130251aa9dac747ac99d","origin/hardening/global-release-candidate-2026-06-15","2026-06-14 23:48:21 -0600","AugustoMelara-Dev","docs(release): record global hardening report"
"rescue/no-perder-nada-20260615-171019/worktree-head/003-C-/tmp/S_Hospital-hardening","b9a0e60854039f8dee0beac2203404a7ef58ed5b","72e7365c3f3334451640130251aa9dac747ac99d","","2026-06-14 23:48:21 -0600","AugustoMelara-Dev","docs(release): record global hardening report"
"rescue/no-perder-nada-20260615-180121/worktree-head/003-","b9a0e60854039f8dee0beac2203404a7ef58ed5b","72e7365c3f3334451640130251aa9dac747ac99d","","2026-06-14 23:48:21 -0600","AugustoMelara-Dev","docs(release): record global hardening report"
"origin/hardening/global-release-candidate-2026-06-15","b9a0e60854039f8dee0beac2203404a7ef58ed5b","72e7365c3f3334451640130251aa9dac747ac99d","","2026-06-14 23:48:21 -0600","AugustoMelara-Dev","docs(release): record global hardening report"
"origin/rescue/no-perder-nada-20260615-171019/worktree-head/003-C-/tmp/S_Hospital-hardening","b9a0e60854039f8dee0beac2203404a7ef58ed5b","72e7365c3f3334451640130251aa9dac747ac99d","","2026-06-14 23:48:21 -0600","AugustoMelara-Dev","docs(release): record global hardening report"
"origin/rescue/no-perder-nada-20260615-180121/worktree-head/003-","b9a0e60854039f8dee0beac2203404a7ef58ed5b","72e7365c3f3334451640130251aa9dac747ac99d","","2026-06-14 23:48:21 -0600","AugustoMelara-Dev","docs(release): record global hardening report"
"checkpoint/main-institutional-receipts-merged-2026-06-15","6508418d62ec25f0cea37221bfce7295977b7629","4ee3db98104eeb77c5aad6498be793609b01619b","origin/checkpoint/main-institutional-receipts-merged-2026-06-15","2026-06-14 22:06:08 -0600","AugustoMelara-Dev","merge: integrate institutional receipt configuration"
"safety/main-before-visible-branch-merge-2026-06-15","6508418d62ec25f0cea37221bfce7295977b7629","4ee3db98104eeb77c5aad6498be793609b01619b","origin/safety/main-before-visible-branch-merge-2026-06-15","2026-06-14 22:06:08 -0600","AugustoMelara-Dev","merge: integrate institutional receipt configuration"
"origin/checkpoint/main-institutional-receipts-merged-2026-06-15","6508418d62ec25f0cea37221bfce7295977b7629","4ee3db98104eeb77c5aad6498be793609b01619b","","2026-06-14 22:06:08 -0600","AugustoMelara-Dev","merge: integrate institutional receipt configuration"
"origin/safety/main-before-visible-branch-merge-2026-06-15","6508418d62ec25f0cea37221bfce7295977b7629","4ee3db98104eeb77c5aad6498be793609b01619b","","2026-06-14 22:06:08 -0600","AugustoMelara-Dev","merge: integrate institutional receipt configuration"
"codex/institutional-receipts-configurable","31677b71a2f46118441e32ea0ee3c003deffa248","4ee3db98104eeb77c5aad6498be793609b01619b","origin/codex/institutional-receipts-configurable","2026-06-14 22:05:43 -0600","AugustoMelara-Dev","fix(receipts): prefer institutional receipt in invoice history"
"origin/codex/institutional-receipts-configurable","31677b71a2f46118441e32ea0ee3c003deffa248","4ee3db98104eeb77c5aad6498be793609b01619b","","2026-06-14 22:05:43 -0600","AugustoMelara-Dev","fix(receipts): prefer institutional receipt in invoice history"
"fix/f8-audit-hardening-2026-06-14","81d74d6e76077d0b2b72a068cdbafb9d088cfb97","9c3932726b80bcd1cf35001d831e8b40e5ea4415","origin/fix/f8-audit-hardening-2026-06-14","2026-06-14 16:14:59 -0600","AugustoMelara-Dev","fix(backend): satisfy hardening quality gates"
"origin/fix/f8-audit-hardening-2026-06-14","81d74d6e76077d0b2b72a068cdbafb9d088cfb97","9c3932726b80bcd1cf35001d831e8b40e5ea4415","","2026-06-14 16:14:59 -0600","AugustoMelara-Dev","fix(backend): satisfy hardening quality gates"
"checkpoint/main-f7-integrated-ready-for-phase-g-2026-06-14","23659b3ec8195aaa3fb24c86bd97fdb930625e31","acb28d0772d9f5376cf1d2b7180313ca45189998","origin/checkpoint/main-f7-integrated-ready-for-phase-g-2026-06-14","2026-06-14 13:21:50 -0600","AugustoMelara-Dev","fix(e2e): satisfy phpstan after f7 merge"
"origin/checkpoint/main-f7-integrated-ready-for-phase-g-2026-06-14","23659b3ec8195aaa3fb24c86bd97fdb930625e31","acb28d0772d9f5376cf1d2b7180313ca45189998","","2026-06-14 13:21:50 -0600","AugustoMelara-Dev","fix(e2e): satisfy phpstan after f7 merge"
"checkpoint/f7-operational-release-gate-pass-2026-06-14","d3acf27c61b2aafb7208575c762631381900ab54","6e27eec1280d7845d8824836cd6ffa2e2dfb6251","origin/checkpoint/f7-operational-release-gate-pass-2026-06-14","2026-06-14 12:52:32 -0600","AugustoMelara-Dev","docs(release): prepare phase g physical validation"
"fix/f7-operational-release-gate","d3acf27c61b2aafb7208575c762631381900ab54","6e27eec1280d7845d8824836cd6ffa2e2dfb6251","origin/fix/f7-operational-release-gate","2026-06-14 12:52:32 -0600","AugustoMelara-Dev","docs(release): prepare phase g physical validation"
"origin/checkpoint/f7-operational-release-gate-pass-2026-06-14","d3acf27c61b2aafb7208575c762631381900ab54","6e27eec1280d7845d8824836cd6ffa2e2dfb6251","","2026-06-14 12:52:32 -0600","AugustoMelara-Dev","docs(release): prepare phase g physical validation"
"origin/fix/f7-operational-release-gate","d3acf27c61b2aafb7208575c762631381900ab54","6e27eec1280d7845d8824836cd6ffa2e2dfb6251","","2026-06-14 12:52:32 -0600","AugustoMelara-Dev","docs(release): prepare phase g physical validation"
"preserve/operational-install-isolated-report-2026-06-14","d58b68cac444ee92c4da32ec6e007dc3443ee2f8","106ce7a69f38490fba32e62ced0df4cb10304b96","origin/preserve/operational-install-isolated-report-2026-06-14","2026-06-14 11:02:44 -0600","AugustoMelara-Dev","docs(qa): preserve isolated operational install report"
"rescue/no-perder-nada-20260615-171019/worktree-head/002-C-/Projects/S_Hospital_release_gate_isolated_0f25a76c","d58b68cac444ee92c4da32ec6e007dc3443ee2f8","106ce7a69f38490fba32e62ced0df4cb10304b96","","2026-06-14 11:02:44 -0600","AugustoMelara-Dev","docs(qa): preserve isolated operational install report"
"rescue/no-perder-nada-20260615-180121/worktree-head/002-","d58b68cac444ee92c4da32ec6e007dc3443ee2f8","106ce7a69f38490fba32e62ced0df4cb10304b96","","2026-06-14 11:02:44 -0600","AugustoMelara-Dev","docs(qa): preserve isolated operational install report"
"origin/preserve/operational-install-isolated-report-2026-06-14","d58b68cac444ee92c4da32ec6e007dc3443ee2f8","106ce7a69f38490fba32e62ced0df4cb10304b96","","2026-06-14 11:02:44 -0600","AugustoMelara-Dev","docs(qa): preserve isolated operational install report"
"origin/rescue/no-perder-nada-20260615-171019/worktree-head/002-C-/Projects/S_Hospital_release_gate_isolated_0f25a76c","d58b68cac444ee92c4da32ec6e007dc3443ee2f8","106ce7a69f38490fba32e62ced0df4cb10304b96","","2026-06-14 11:02:44 -0600","AugustoMelara-Dev","docs(qa): preserve isolated operational install report"
"origin/rescue/no-perder-nada-20260615-180121/worktree-head/002-","d58b68cac444ee92c4da32ec6e007dc3443ee2f8","106ce7a69f38490fba32e62ced0df4cb10304b96","","2026-06-14 11:02:44 -0600","AugustoMelara-Dev","docs(qa): preserve isolated operational install report"
"rescue/no-perder-nada-20260615-171019/stash/0","17f9fb5761f186e0d9643210a14569f993fad493","ea26162125368e6e33fd13cafb9af13b273143d2","","2026-06-14 10:26:00 -0600","AugustoMelara-Dev","WIP on fix/f7-operational-release-gate: e58270ff fix(deploy): harden production scheduler and offline release gate"
"rescue/no-perder-nada-20260615-180121/stash/0","17f9fb5761f186e0d9643210a14569f993fad493","ea26162125368e6e33fd13cafb9af13b273143d2","","2026-06-14 10:26:00 -0600","AugustoMelara-Dev","WIP on fix/f7-operational-release-gate: e58270ff fix(deploy): harden production scheduler and offline release gate"
"origin/rescue/no-perder-nada-20260615-171019/stash/0","17f9fb5761f186e0d9643210a14569f993fad493","ea26162125368e6e33fd13cafb9af13b273143d2","","2026-06-14 10:26:00 -0600","AugustoMelara-Dev","WIP on fix/f7-operational-release-gate: e58270ff fix(deploy): harden production scheduler and offline release gate"
"origin/rescue/no-perder-nada-20260615-180121/stash/0","17f9fb5761f186e0d9643210a14569f993fad493","ea26162125368e6e33fd13cafb9af13b273143d2","","2026-06-14 10:26:00 -0600","AugustoMelara-Dev","WIP on fix/f7-operational-release-gate: e58270ff fix(deploy): harden production scheduler and offline release gate"
"preserve/final-delivery-report-2026-06-14","8801297134d23b17ef920e2b4edbdba94efb5feb","7b5839b7abddae2b30d8a8a6cec57b6cb0ea054e","origin/preserve/final-delivery-report-2026-06-14","2026-06-14 09:52:29 -0600","AugustoMelara-Dev","docs(release): preserve final delivery report"
"origin/preserve/final-delivery-report-2026-06-14","8801297134d23b17ef920e2b4edbdba94efb5feb","7b5839b7abddae2b30d8a8a6cec57b6cb0ea054e","","2026-06-14 09:52:29 -0600","AugustoMelara-Dev","docs(release): preserve final delivery report"
"checkpoint/f6-p0-004-hotfix-main-2026-06-14","0f25a76c189d9947b7e82b4d43c9eae1faf03184","70f9ca4ac0c08a564e173d4b7cd54ce5ac921a26","origin/checkpoint/f6-p0-004-hotfix-main-2026-06-14","2026-06-14 09:17:33 -0600","AugustoMelara-Dev","fix(security): natively encrypt legacy plaintext idempotency keys"
"origin/checkpoint/f6-p0-004-hotfix-main-2026-06-14","0f25a76c189d9947b7e82b4d43c9eae1faf03184","70f9ca4ac0c08a564e173d4b7cd54ce5ac921a26","","2026-06-14 09:17:33 -0600","AugustoMelara-Dev","fix(security): natively encrypt legacy plaintext idempotency keys"
"preserve/sensitive-post-merge-audit","c1ff6c1c636e867bb9192cd43ace82dcbe333387","47002b1c9c3716cdefae8a7e73905fd2c4e8f9b3","origin/preserve/sensitive-post-merge-audit","2026-06-14 09:17:31 -0600","AugustoMelara-Dev","docs(qa): preserve sensitive post-merge audit report"
"origin/preserve/sensitive-post-merge-audit","c1ff6c1c636e867bb9192cd43ace82dcbe333387","47002b1c9c3716cdefae8a7e73905fd2c4e8f9b3","","2026-06-14 09:17:31 -0600","AugustoMelara-Dev","docs(qa): preserve sensitive post-merge audit report"
"merge/f6-approved-a9377e9f-exact","295567ee9406f1670013826e91c26898bd363d2c","70f9ca4ac0c08a564e173d4b7cd54ce5ac921a26","origin/merge/f6-approved-a9377e9f-exact","2026-06-14 09:05:46 -0600","AugustoMelara-Dev","fix(security): natively encrypt legacy plaintext idempotency keys"
